Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News LLM labels,ReplaceWithSynonymsNoise,SVM,0.3,0.4615384615384615,1.0,0.3
AG News LLM labels,ReplaceWithSynonymsNoise,SVMRoberta,0.5,0.5166666666666667,0.5833333333333333,0.5
AG News LLM labels,ReplaceWithSynonymsNoise,XGBoost,0.5,0.5566666666666668,0.6833333333333333,0.5
AG News LLM labels,ReplaceWithSynonymsNoise,XGBoostRoberta,0.3,0.45,0.9,0.3
AG News LLM labels,ShuffleSentencesNoise,LightGBM,0.3,0.45,0.9,0.3
AG News LLM labels,ShuffleSentencesNoise,LightGBMRoberta,0.6,0.5833333333333333,0.6333333333333333,0.6
AG News LLM labels,ShuffleSentencesNoise,RandomForest,0.5,0.5763636363636364,0.925,0.5
AG News LLM labels,ShuffleSentencesNoise,SVM,0.3,0.4615384615384615,1.0,0.3
AG News LLM labels,ShuffleSentencesNoise,SVMRoberta,0.6,0.6000000000000001,0.6166666666666666,0.6
AG News LLM labels,ShuffleSentencesNoise,XGBoost,0.5,0.5566666666666668,0.6833333333333333,0.5
AG News LLM labels,ShuffleSentencesNoise,XGBoostRoberta,0.5,0.5,0.6,0.5
BBC News Full,AddRandomCharsNoise,LightGBM,0.4,0.31428571428571433,0.27999999999999997,0.4
BBC News Full,AddRandomCharsNoise,LightGBMRoberta,0.9,0.9400000000000001,1.0,0.9
BBC News Full,AddRandomCharsNoise,RandomForest,1.0,1.0,1.0,1.0
BBC News Full,AddRandomCharsNoise,SVM,0.9,0.9,0.9,0.9
BBC News Full,AddRandomCharsNoise,XGBoost,0.9,0.8666666666666666,0.85,0.9
BBC News Full,AddRandomCharsNoise,XGBoostRoberta,0.8,0.8,0.8,0.8
BBC News Full,AddRandomWordsNoise,LightGBM,0.4,0.345,0.32999999999999996,0.4
BBC News Full,AddRandomWordsNoise,LightGBMRoberta,0.7,0.7200000000000001,0.75,0.7
BBC News Full,AddRandomWordsNoise,RandomForest,1.0,1.0,1.0,1.0
BBC News Full,AddRandomWordsNoise,SVM,1.0,1.0,1.0,1.0
BBC News Full,AddRandomWordsNoise,XGBoost,1.0,1.0,1.0,1.0
BBC News Full,AddRandomWordsNoise,XGBoostRoberta,0.7,0.8121212121212121,1.0,0.7
BBC News Full,DeleteRandomWordsNoise,LightGBM,0.2,0.17619047619047623,0.27,0.2
BBC News Full,DeleteRandomWordsNoise,LightGBMRoberta,0.9,0.9454545454545453,1.0,0.9
BBC News Full,DeleteRandomWordsNoise,RandomForest,1.0,1.0,1.0,1.0
BBC News Full,DeleteRandomWordsNoise,SVM,1.0,1.0,1.0,1.0
BBC News Full,DeleteRandomWordsNoise,XGBoost,0.8,0.7666666666666666,0.75,0.8
BBC News Full,DeleteRandomWordsNoise,XGBoostRoberta,0.9,0.8955555555555555,0.9199999999999999,0.9
BBC News Full,NoNoise,LightGBM,0.3,0.23428571428571435,0.22999999999999998,0.3
BBC News Full,NoNoise,LightGBMRoberta,0.7,0.6773809523809524,0.8300000000000001,0.7
BBC News Full,NoNoise,RandomForest,1.0,1.0,1.0,1.0
BBC News Full,NoNoise,SVM,1.0,1.0,1.0,1.0
BBC News Full,NoNoise,XGBoost,1.0,1.0,1.0,1.0
BBC News Full,NoNoise,XGBoostRoberta,0.8,0.765,0.78,0.8
BBC News Full,ReplaceWithAntonymsNoise,LightGBM,0.3,0.23428571428571435,0.22999999999999998,0.3
BBC News Full,ReplaceWithAntonymsNoise,LightGBMRoberta,1.0,1.0,1.0,1.0
BBC News Full,ReplaceWithAntonymsNoise,RandomForest,1.0,1.0,1.0,1.0
BBC News Full,ReplaceWithAntonymsNoise,SVM,1.0,1.0,1.0,1.0
BBC News Full,ReplaceWithAntonymsNoise,XGBoost,1.0,1.0,1.0,1.0
BBC News Full,ReplaceWithAntonymsNoise,XGBoostRoberta,0.9,0.8555555555555555,0.82,0.9
BBC News Full,ReplaceWithSynonymsNoise,LightGBM,0.3,0.23428571428571435,0.22999999999999998,0.3
BBC News Full,ReplaceWithSynonymsNoise,LightGBMRoberta,1.0,1.0,1.0,1.0
BBC News Full,ReplaceWithSynonymsNoise,RandomForest,1.0,1.0,1.0,1.0
BBC News Full,ReplaceWithSynonymsNoise,SVM,1.0,1.0,1.0,1.0
BBC News Full,ReplaceWithSynonymsNoise,XGBoost,1.0,1.0,1.0,1.0
BBC News Full,ReplaceWithSynonymsNoise,XGBoostRoberta,1.0,1.0,1.0,1.0
BBC News Full,ShuffleSentencesNoise,LightGBM,0.3,0.23428571428571435,0.22999999999999998,0.3
BBC News Full,ShuffleSentencesNoise,LightGBMRoberta,0.7,0.6773809523809524,0.8300000000000001,0.7
BBC News Full,ShuffleSentencesNoise,RandomForest,1.0,1.0,1.0,1.0
BBC News Full,ShuffleSentencesNoise,SVM,1.0,1.0,1.0,1.0
BBC News Full,ShuffleSentencesNoise,XGBoost,1.0,1.0,1.0,1.0
BBC News Full,ShuffleSentencesNoise,XGBoostRoberta,0.8,0.7916666666666666,0.8800000000000001,0.8
