Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
20 Newsgroups LLM labels,NoNoise,LightGBMRoberta,0.37,0.38,0.48,0.37
20 Newsgroups LLM labels,NoNoise,RandomForest,0.26,0.26,0.61,0.26
20 Newsgroups LLM labels,NoNoise,RandomForestRoberta,0.31,0.34,0.56,0.31
20 Newsgroups LLM labels,NoNoise,SVM,0.08,0.11,0.92,0.08
20 Newsgroups LLM labels,NoNoise,SVMRoberta,0.45,0.46,0.55,0.45
20 Newsgroups LLM labels,NoNoise,XGBoost,0.27,0.27,0.33,0.27
20 Newsgroups LLM labels,NoNoise,XGBoostRoberta,0.34,0.35,0.45,0.34
20 Newsgroups LLM labels,ReplaceWithAntonymsNoise,LightGBM,0.14,0.15,0.22,0.14
20 Newsgroups LLM labels,ReplaceWithAntonymsNoise,LightGBMRoberta,0.28,0.3,0.49,0.28
20 Newsgroups LLM labels,ReplaceWithAntonymsNoise,RandomForest,0.26,0.26,0.61,0.26
20 Newsgroups LLM labels,ReplaceWithAntonymsNoise,RandomForestRoberta,0.22,0.27,0.6,0.22
20 Newsgroups LLM labels,ReplaceWithAntonymsNoise,SVM,0.08,0.11,0.92,0.08
20 Newsgroups LLM labels,ReplaceWithAntonymsNoise,SVMRoberta,0.39,0.41,0.6,0.39
20 Newsgroups LLM labels,ReplaceWithAntonymsNoise,XGBoost,0.27,0.27,0.33,0.27
20 Newsgroups LLM labels,ReplaceWithAntonymsNoise,XGBoostRoberta,0.26,0.29,0.47,0.26
20 Newsgroups LLM labels,ReplaceWithSynonymsNoise,LightGBM,0.13,0.15,0.22,0.13
20 Newsgroups LLM labels,ReplaceWithSynonymsNoise,LightGBMRoberta,0.28,0.3,0.5,0.28
20 Newsgroups LLM labels,ReplaceWithSynonymsNoise,RandomForest,0.26,0.26,0.62,0.26
20 Newsgroups LLM labels,ReplaceWithSynonymsNoise,RandomForestRoberta,0.21,0.27,0.6,0.21
20 Newsgroups LLM labels,ReplaceWithSynonymsNoise,SVM,0.08,0.11,0.92,0.08
20 Newsgroups LLM labels,ReplaceWithSynonymsNoise,SVMRoberta,0.38,0.4,0.59,0.38
20 Newsgroups LLM labels,ReplaceWithSynonymsNoise,XGBoost,0.26,0.26,0.33,0.26
20 Newsgroups LLM labels,ReplaceWithSynonymsNoise,XGBoostRoberta,0.27,0.29,0.48,0.27
20 Newsgroups LLM labels,ShuffleSentencesNoise,LightGBM,0.14,0.15,0.23,0.14
20 Newsgroups LLM labels,ShuffleSentencesNoise,LightGBMRoberta,0.37,0.37,0.44,0.37
20 Newsgroups LLM labels,ShuffleSentencesNoise,RandomForest,0.26,0.26,0.61,0.26
20 Newsgroups LLM labels,ShuffleSentencesNoise,RandomForestRoberta,0.32,0.34,0.54,0.32
20 Newsgroups LLM labels,ShuffleSentencesNoise,SVM,0.08,0.11,0.92,0.08
20 Newsgroups LLM labels,ShuffleSentencesNoise,SVMRoberta,0.46,0.46,0.52,0.46
20 Newsgroups LLM labels,ShuffleSentencesNoise,XGBoost,0.27,0.27,0.33,0.27
20 Newsgroups LLM labels,ShuffleSentencesNoise,XGBoostRoberta,0.35,0.35,0.42,0.35
