Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News LLM labels,AddRandomCharsNoise,XGBoostRoberta,0.6435526315789474,0.6882493533003615,0.8312598337950139,0.6435526315789474
AG News LLM labels,AddRandomWordsNoise,LightGBM,0.24789473684210525,0.39581279899477817,0.985448753462604,0.24789473684210525
AG News LLM labels,AddRandomWordsNoise,LightGBMRoberta,0.6594736842105263,0.6997545578309272,0.8493398891966759,0.6594736842105263
AG News LLM labels,AddRandomWordsNoise,RandomForest,0.4056578947368421,0.4571090707024459,0.8691059556786704,0.4056578947368421
AG News LLM labels,AddRandomWordsNoise,SVM,0.295921052631579,0.4041826908576269,0.957347299168975,0.295921052631579
AG News LLM labels,AddRandomWordsNoise,SVMRoberta,0.7144736842105263,0.7440283813850832,0.8589462603878116,0.7144736842105263
AG News LLM labels,AddRandomWordsNoise,XGBoost,0.48710526315789476,0.5066738633033723,0.6860419667590028,0.48710526315789476
AG News LLM labels,AddRandomWordsNoise,XGBoostRoberta,0.6540789473684211,0.6943955424265802,0.8387313019390582,0.6540789473684211
AG News LLM labels,DeleteRandomWordsNoise,LightGBM,0.2488157894736842,0.3976772372888656,0.9919896814404433,0.2488157894736842
AG News LLM labels,DeleteRandomWordsNoise,LightGBMRoberta,0.6692105263157895,0.71847531881637,0.8616071329639887,0.6692105263157895
AG News LLM labels,DeleteRandomWordsNoise,RandomForest,0.3588157894736842,0.4274701876889914,0.8997351108033241,0.3588157894736842
AG News LLM labels,DeleteRandomWordsNoise,SVM,0.29039473684210526,0.4029051010141522,0.9618718144044321,0.29039473684210526
AG News LLM labels,DeleteRandomWordsNoise,SVMRoberta,0.7178947368421053,0.7553266580882549,0.8720896814404433,0.7178947368421053
AG News LLM labels,DeleteRandomWordsNoise,XGBoost,0.44802631578947366,0.46854954325277265,0.6870000692520775,0.44802631578947366
AG News LLM labels,DeleteRandomWordsNoise,XGBoostRoberta,0.6584210526315789,0.7066963629066892,0.8411237534626039,0.6584210526315789
AG News LLM labels,NoNoise,LightGBM,0.24842105263157896,0.396725858841737,0.9884565096952909,0.24842105263157896
AG News LLM labels,NoNoise,LightGBMRoberta,0.6869736842105263,0.7268238082224365,0.8527395429362882,0.6869736842105263
AG News LLM labels,NoNoise,RandomForest,0.4051315789473684,0.45675414454728414,0.8726876038781165,0.4051315789473684
AG News LLM labels,NoNoise,SVM,0.30236842105263156,0.40592957973971494,0.9522429362880886,0.30236842105263156
AG News LLM labels,NoNoise,SVMRoberta,0.7326315789473684,0.7674672379199637,0.8774770083102493,0.7326315789473684
AG News LLM labels,NoNoise,XGBoost,0.48644736842105263,0.5063584120860164,0.6915855263157894,0.48644736842105263
AG News LLM labels,NoNoise,XGBoostRoberta,0.6780263157894737,0.7170940105890645,0.8434896121883656,0.6780263157894737
AG News LLM labels,ReplaceWithAntonymsNoise,LightGBM,0.24842105263157896,0.3967463570317644,0.9887174515235458,0.24842105263157896
AG News LLM labels,ReplaceWithAntonymsNoise,LightGBMRoberta,0.5565789473684211,0.5910275735680371,0.8452235457063713,0.5565789473684211
AG News LLM labels,ReplaceWithAntonymsNoise,RandomForest,0.40460526315789475,0.45614826712325435,0.8721823407202216,0.40460526315789475
AG News LLM labels,ReplaceWithAntonymsNoise,SVM,0.30223684210526314,0.40587093732720564,0.9522065096952909,0.30223684210526314
AG News LLM labels,ReplaceWithAntonymsNoise,SVMRoberta,0.7273684210526316,0.7693077595201859,0.8833981301939059,0.7273684210526316
AG News LLM labels,ReplaceWithAntonymsNoise,XGBoost,0.4855263157894737,0.5053915556834432,0.6907441828254848,0.4855263157894737
AG News LLM labels,ReplaceWithAntonymsNoise,XGBoostRoberta,0.5310526315789473,0.5770455851340054,0.8307341412742382,0.5310526315789473
AG News LLM labels,ReplaceWithSynonymsNoise,LightGBM,0.24842105263157896,0.396725858841737,0.9884565096952909,0.24842105263157896
AG News LLM labels,ReplaceWithSynonymsNoise,LightGBMRoberta,0.5521052631578948,0.5875191348622082,0.844512673130194,0.5521052631578948
AG News LLM labels,ReplaceWithSynonymsNoise,RandomForest,0.3973684210526316,0.45127506115107724,0.8793840027700831,0.3973684210526316
AG News LLM labels,ReplaceWithSynonymsNoise,SVM,0.29697368421052633,0.40455165453992514,0.9565686288088643,0.29697368421052633
AG News LLM labels,ReplaceWithSynonymsNoise,SVMRoberta,0.7271052631578947,0.7683706415990902,0.8825778393351801,0.7271052631578947
AG News LLM labels,ReplaceWithSynonymsNoise,XGBoost,0.4814473684210526,0.5018709065997211,0.6944029085872576,0.4814473684210526
AG News LLM labels,ReplaceWithSynonymsNoise,XGBoostRoberta,0.531578947368421,0.5779509266740386,0.833440027700831,0.531578947368421
AG News LLM labels,ShuffleSentencesNoise,LightGBM,0.24842105263157896,0.396725858841737,0.9884565096952909,0.24842105263157896
AG News LLM labels,ShuffleSentencesNoise,LightGBMRoberta,0.6865789473684211,0.7260545025804612,0.8512198060941828,0.6865789473684211
AG News LLM labels,ShuffleSentencesNoise,RandomForest,0.4051315789473684,0.45675414454728414,0.8726876038781165,0.4051315789473684
AG News LLM labels,ShuffleSentencesNoise,SVM,0.30236842105263156,0.40592957973971494,0.9522429362880886,0.30236842105263156
AG News LLM labels,ShuffleSentencesNoise,SVMRoberta,0.7319736842105263,0.7665189247676736,0.8759499307479225,0.7319736842105263
AG News LLM labels,ShuffleSentencesNoise,XGBoost,0.48644736842105263,0.5063584120860164,0.6915855263157894,0.48644736842105263
AG News LLM labels,ShuffleSentencesNoise,XGBoostRoberta,0.679078947368421,0.7179938136808411,0.8434087257617728,0.679078947368421
BBC News Full,AddRandomCharsNoise,LightGBM,0.5559633027522936,0.5503845446326538,0.5804849059131503,0.5559633027522936
BBC News Full,AddRandomCharsNoise,LightGBMRoberta,0.6862385321100918,0.7037894232463647,0.7939200343603142,0.6862385321100918
BBC News Full,AddRandomCharsNoise,RandomForest,0.8733944954128441,0.8735298480097047,0.8782160489390871,0.8733944954128441
BBC News Full,AddRandomCharsNoise,SVM,0.9064220183486239,0.906753008199879,0.9114357300906679,0.9064220183486239
BBC News Full,AddRandomCharsNoise,XGBoost,0.7440366972477064,0.7457190258359803,0.7517379503346074,0.7440366972477064
BBC News Full,AddRandomCharsNoise,XGBoostRoberta,0.6339449541284403,0.6557601027040585,0.7534474040947474,0.6339449541284403
BBC News Full,AddRandomWordsNoise,LightGBM,0.5761467889908257,0.5704489606922386,0.5859780004433899,0.5761467889908257
BBC News Full,AddRandomWordsNoise,LightGBMRoberta,0.5073394495412844,0.5893657597358211,0.845244626125299,0.5073394495412844
BBC News Full,AddRandomWordsNoise,RandomForest,0.8862385321100917,0.886870819449339,0.8892481507952911,0.8862385321100917
BBC News Full,AddRandomWordsNoise,SVM,0.9119266055045872,0.9122400156114676,0.9164082877578341,0.9119266055045872
BBC News Full,AddRandomWordsNoise,XGBoost,0.7385321100917431,0.7398541895713588,0.7452008480052,0.7385321100917431
BBC News Full,AddRandomWordsNoise,XGBoostRoberta,0.5137614678899083,0.5907198380334865,0.8588532804555125,0.5137614678899083
BBC News Full,DeleteRandomWordsNoise,LightGBM,0.555045871559633,0.5508730489353824,0.576998220046758,0.555045871559633
BBC News Full,DeleteRandomWordsNoise,LightGBMRoberta,0.7045871559633028,0.7193448633515057,0.8232046979525331,0.7045871559633028
